id,kind,date,competitiveness,abbr,name,teams
306,COMBUSTION,2024-10-13,0.85,CN ,Formula Student China 2024,47
305,MIXED,2024-09-14,0.9,JP ,Formula SAE® Japan 2024,71
303,COMBUSTION,2024-09-08,0.85,IT ,Formula SAE® Italy 2024,13
301,COMBUSTION,2024-08-25,0.85,AA ,Formula Student Alpe Adria 2024,16
298,COMBUSTION,2024-08-10,0.85,CZ ,Formula Student Czech Republic 2024,14
296,COMBUSTION,2024-08-07,0.85,ES ,Formula Student Spain 2024,18
294,COMBUSTION,2024-08-03,0.85,EA ,Formula Student East 2024,10
292,COMBUSTION,2024-07-25,0.85,AT ,Formula Student Austria 2024,20
291,MIXED,2024-07-21,0.85,UK ,Formula Student United Kingdom 2024,51
287,COMBUSTION,2024-05-11,0.95,MI ,Formula SAE® Michigan 2024,108
285,COMBUSTION,2024-01-24,0.85,FB ,Formula Bharat - India 2024,18
283,MIXED,2023-09-02,0.85,JP ,Formula SAE® Japan 2023,64
281,COMBUSTION,2023-08-26,0.87,AA ,Formula Student Alpe Adria 2023,11
279,COMBUSTION,2023-08-20,0.85,DE ,Formula Student Germany 2023,27
277,COMBUSTION,2023-08-13,0.85,ES ,Formula Student Spain 2023,10
275,COMBUSTION,2023-08-12,0.85,CZ ,Formula Student Czech Republic 2023,15
273,COMBUSTION,2023-08-06,0.87,EA ,Formula Student East 2023,18
271,COMBUSTION,2023-07-27,0.89,AT ,Formula Student Austria 2023,21
270,MIXED,2023-07-23,0.85,UK ,Formula Student United Kingdom 2023,60
268,COMBUSTION,2023-07-16,0.85,IT ,Formula SAE® Italy 2023,22
266,COMBUSTION,2023-07-13,0.85,NL ,Formula Student Netherlands 2023,12
264,COMBUSTION,2023-05-20,0.95,MI ,Formula SAE® Michigan 2023,114
262,COMBUSTION,2023-01-24,0.85,FB ,Formula Bharat - India 2023,27
259,COMBUSTION,2022-09-04,0.85,ES ,Formula Student Spain 2022,15
257,COMBUSTION,2022-08-28,0.85,AA ,Formula Student Alpe Adria 2022,14
255,COMBUSTION,2022-08-22,0.9,DE ,Formula Student Germany 2022,26
253,COMBUSTION,2022-08-12,0.91,EA ,Formula Student East 2022,19
251,COMBUSTION,2022-07-28,0.95,AT ,Formula Student Austria 2022,24
249,COMBUSTION,2022-07-14,0.85,CZ ,Formula Student Czech Republic 2022,18
247,COMBUSTION,2022-07-17,0.86,IT ,Formula SAE® Italy 2022,24
245,COMBUSTION,2022-07-14,0.85,NL ,Formula Student Netherlands 2022,14
244,MIXED,2022-07-10,0.85,UK ,Formula Student United Kingdom 2022,51
242,COMBUSTION,2022-06-18,0.9,MI ,Formula SAE® Michigan - June 2022,43
241,COMBUSTION,2022-05-21,0.93,MI ,Formula SAE® Michigan 2022,89
239,COMBUSTION,2022-01-25,0.85,FB ,Formula Bharat - India 2022,15
237,COMBUSTION,2021-10-13,0.88,IT ,Formula SAE® Italy 2021,17
235,COMBUSTION,2021-08-21,0.93,DE ,Formula Student Germany 2021,21
233,COMBUSTION,2021-08-11,0.91,EA ,Formula Student East 2021,23
231,COMBUSTION,2021-08-08,0.85,ES ,Formula Student Spain 2021,17
229,COMBUSTION,2021-08-01,0.9,CZ ,Formula Student Czech Republic 2021,19
227,COMBUSTION,2021-07-29,0.93,AT ,Formula Student Austria 2021,27
226,MIXED,2021-07-25,0.85,UK ,Formula Student United Kingdom 2021,32
224,COMBUSTION,2021-07-08,0.91,NL ,Formula Student Netherlands 2021,26
223,COMBUSTION,2020-01-26,0.85,FB ,Formula Bharat - India 2020,41
221,COMBUSTION,2019-12-08,0.9,AU ,Formula SAE® Australasia 2019,13
220,MIXED,2019-08-31,0.96,JP ,Student Formula Japan 2019,87
218,COMBUSTION,2019-08-25,0.94,ES ,Formula Student Spain 2019,28
216,COMBUSTION,2019-08-17,0.88,CZ ,Formula Student Czech Republic 2019,33
214,COMBUSTION,2019-08-11,0.97,DE ,Formula Student Germany 2019,60
212,COMBUSTION,2019-08-01,0.95,AT ,Formula Student Austria 2019,34
210,COMBUSTION,2019-07-28,0.87,IT ,Formula SAE® Italy 2019,40
208,COMBUSTION,2019-07-22,0.93,EA ,Formula Student East 2019,25
207,MIXED,2019-07-21,0.85,UK ,Formula Student United Kingdom 2019,64
205,COMBUSTION,2019-07-11,0.87,NL ,Formula Student Netherlands 2019,28
203,COMBUSTION,2019-06-22,0.92,LN ,Formula SAE® Lincoln 2019,76
201,COMBUSTION,2019-06-02,0.9,FN ,Formula SAE® North - Canada 2019,22
200,COMBUSTION,2019-05-11,0.97,MI ,Formula SAE® Michigan 2019,108
199,COMBUSTION,2019-01-27,0.85,FB ,Formula Bharat - India 2019,54
197,COMBUSTION,2018-12-09,0.91,AU ,Formula SAE® Australasia 2018,18
196,MIXED,2018-09-08,0.95,JP ,Student Formula Japan 2018,86
194,COMBUSTION,2018-08-26,0.96,ES ,Formula Student Spain 2018,37
192,COMBUSTION,2018-08-12,0.97,DE ,Formula Student Germany 2018,57
190,COMBUSTION,2018-08-02,0.94,AT ,Formula Student Austria 2018,30
188,COMBUSTION,2018-07-22,0.92,EA ,Formula Student East 2018,28
186,COMBUSTION,2018-07-15,0.85,IT ,Formula SAE® Italy 2018,46
185,MIXED,2018-07-15,0.88,UK ,Formula Student United Kingdom 2018,70
183,COMBUSTION,2018-06-23,0.93,LN ,Formula SAE® Lincoln 2018,66
182,COMBUSTION,2018-06-03,0.91,FN ,Formula SAE® North - Canada 2018,23
181,COMBUSTION,2018-05-12,0.97,MI ,Formula SAE® Michigan 2018,114
180,COMBUSTION,2018-01-28,0.85,FB ,Formula Bharat - India 2018,54
179,COMBUSTION,2017-12-10,0.88,AU ,Formula SAE® Australasia 2017,16
178,COMBUSTION,2017-12-03,0.85,BR ,Fórmula SAE® Brasil 2017,40
177,MIXED,2017-09-08,0.92,JP ,Student Formula Japan 2017,83
175,COMBUSTION,2017-08-27,0.94,ES ,Formula Student Spain 2017,31
173,COMBUSTION,2017-08-13,0.97,DE ,Formula Student Germany 2017,64
171,COMBUSTION,2017-08-05,0.92,CZ ,Formula Student Czech Republic 2017,33
169,COMBUSTION,2017-08-03,0.97,AT ,Formula Student Austria 2017,31
168,MIXED,2017-07-23,0.85,UK ,Formula Student United Kingdom 2017,62
167,MIXED,2017-07-23,0.99,EA ,Formula Student East 2017,38
165,COMBUSTION,2017-07-23,0.91,IT ,Formula SAE® Italy 2017,43
164,COMBUSTION,2017-06-24,0.92,LN ,Formula SAE® Lincoln 2017,70
162,COMBUSTION,2017-05-13,0.98,MI ,Formula SAE® Michigan 2017,109
161,MIXED,2016-12-11,0.9,AU ,Formula SAE® Australasia 2016,32
160,COMBUSTION,2016-11-27,0.85,BR ,Fórmula SAE® Brasil 2016,31
159,MIXED,2016-09-10,0.94,JP ,Student Formula Japan 2016,83
157,COMBUSTION,2016-08-28,0.97,ES ,Formula Student Spain 2016,36
155,COMBUSTION,2016-08-14,0.99,DE ,Formula Student Germany 2016,73
153,COMBUSTION,2016-08-07,0.9,CZ ,Formula Student Czech Republic 2016,25
151,COMBUSTION,2016-08-04,0.97,AT ,Formula Student Austria 2016,21
150,MIXED,2016-07-31,0.89,EA ,Formula Student East 2016,28
148,COMBUSTION,2016-07-25,0.88,IT ,Formula SAE® Italy 2016,38
147,MIXED,2016-07-17,0.98,UK ,Formula Student United Kingdom 2016,106
146,COMBUSTION,2016-06-18,0.92,LN ,Formula SAE® Lincoln 2016,69
145,COMBUSTION,2016-06-05,0.9,FN ,Formula SAE® North - Canada 2016,25
144,COMBUSTION,2016-05-14,0.98,MI ,Formula SAE® Michigan 2016,114
143,MIXED,2015-12-13,0.92,AU ,Formula SAE® Australasia 2015,29
142,COMBUSTION,2015-10-04,0.85,BR ,Fórmula SAE® Brasil 2015,31
140,COMBUSTION,2015-09-14,0.87,IT ,Formula SAE® Italy 2015,43
138,COMBUSTION,2015-09-06,0.88,CZ ,Formula Student Czech Republic 2015,22
137,MIXED,2015-09-05,0.95,JP ,Student Formula Japan 2015,75
135,COMBUSTION,2015-08-30,0.9,ES ,Formula Student Spain 2015,28
134,MIXED,2015-08-23,0.9,HU ,Formula Student Hungary 2015,37
132,COMBUSTION,2015-08-13,0.94,AT ,Formula Student Austria 2015,20
