id,kind,date,competitiveness,abbr,name,teams
284,ELECTRIC,2023-12-17,0.91,AU ,Formula SAE® Australasia 2023,22
283,MIXED,2023-09-02,0.85,JP ,Student Formula Japan 2023,64
282,ELECTRIC,2023-08-26,0.89,AA ,Formula Student Alpe Adria 2023,29
280,ELECTRIC,2023-08-20,0.92,DE ,Formula Student Germany 2023,70
278,ELECTRIC,2023-08-13,0.85,ES ,Formula Student Spain 2023,19
276,ELECTRIC,2023-08-12,0.9,CZ ,Formula Student Czech Republic 2023,35
274,ELECTRIC,2023-08-06,0.92,EA ,Formula Student East 2023,31
272,ELECTRIC,2023-07-27,0.93,AT ,Formula Student Austria 2023,34
270,MIXED,2023-07-23,0.85,UK ,Formula Student United Kingdom 2023,60
269,ELECTRIC,2023-07-16,0.85,IT ,Formula SAE® Italy 2023,29
267,ELECTRIC,2023-07-13,0.92,NL ,Formula Student Netherlands 2023,33
265,ELECTRIC,2023-06-17,0.88,MI ,Formula SAE® Michigan 2023,61
263,ELECTRIC,2023-01-24,0.85,FB ,Formula Bharat - India 2023,21
261,ELECTRIC,2022-12-11,0.9,AU ,Formula SAE® Australasia 2022,20
260,ELECTRIC,2022-09-04,0.85,ES ,Formula Student Spain 2022,38
258,ELECTRIC,2022-08-28,0.85,AA ,Formula Student Alpe Adria 2022,25
256,ELECTRIC,2022-08-22,0.93,DE ,Formula Student Germany 2022,63
254,ELECTRIC,2022-08-12,0.92,EA ,Formula Student East 2022,33
252,ELECTRIC,2022-07-28,0.95,AT ,Formula Student Austria 2022,30
250,ELECTRIC,2022-07-14,0.85,CZ ,Formula Student Czech Republic 2022,19
248,ELECTRIC,2022-07-17,0.85,IT ,Formula SAE® Italy 2022,26
246,ELECTRIC,2022-07-14,0.9,NL ,Formula Student Netherlands 2022,21
244,MIXED,2022-07-10,0.85,UK ,Formula Student United Kingdom 2022,51
243,ELECTRIC,2022-06-18,0.91,MI ,Formula SAE® Michigan - June 2022,43
240,ELECTRIC,2022-01-25,0.85,FB ,Formula Bharat - India 2022,13
238,ELECTRIC,2021-10-13,0.85,IT ,Formula SAE® Italy 2021,18
236,ELECTRIC,2021-08-21,0.94,DE ,Formula Student Germany 2021,38
234,ELECTRIC,2021-08-11,0.93,EA ,Formula Student East 2021,26
232,ELECTRIC,2021-08-08,0.85,ES ,Formula Student Spain 2021,16
230,ELECTRIC,2021-08-01,0.85,CZ ,Formula Student Czech Republic 2021,14
228,ELECTRIC,2021-07-29,0.92,AT ,Formula Student Austria 2021,27
226,MIXED,2021-07-25,0.85,UK ,Formula Student United Kingdom 2021,32
225,ELECTRIC,2021-07-08,0.93,NL ,Formula Student Netherlands 2021,28
222,ELECTRIC,2019-12-08,0.85,AU ,Formula SAE® Australasia 2019,16
220,MIXED,2019-08-31,0.96,JP ,Student Formula Japan 2019,87
219,ELECTRIC,2019-08-25,0.95,ES ,Formula Student Spain 2019,39
217,ELECTRIC,2019-08-17,0.85,CZ ,Formula Student Czech Republic 2019,15
215,ELECTRIC,2019-08-11,0.97,DE ,Formula Student Germany 2019,38
213,ELECTRIC,2019-08-01,0.95,AT ,Formula Student Austria 2019,24
211,ELECTRIC,2019-07-28,0.85,IT ,Formula SAE® Italy 2019,25
209,ELECTRIC,2019-07-22,0.92,EA ,Formula Student East 2019,20
