name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Fachhochschule Kiel,Germany,ELECTRIC,1,8,87.4,9,60.6,2,131.6,2,70.3,1,75.0,4,67.9,1,325.0,1,100.0,0.0,918.0
Universidade de Lisboa - Instituto Superior Técnico,Portugal,ELECTRIC,2,1,100.0,1,75.0,1,150.0,1,75.0,4,39.9,3,80.8,2,216.9,,,0.0,738.0
Escola Superior d,Spain,ELECTRIC,3,3,98.0,11,58.4,3,123.9,3,67.8,2,62.3,6,60.2,4,131.1,3,26.4,0.0,628.0
University of Bath,United Kingdom,ELECTRIC,4,7,88.7,13,54.1,8,92.6,4,57.3,6,15.3,2,98.5,3,169.8,2,51.0,0.0,627.0
Barcelona School of Industrial Engineering - ETSEIB - UPC,Spain,ELECTRIC,5,4,97.0,7,62.1,4,120.0,7,30.9,3,54.2,1,100.0,,,,,0.0,464.0
TECNUN - University of Navarra,Spain,ELECTRIC,6,9,86.1,4,71.0,7,98.0,9,3.5,5,24.5,5,65.5,,,,,0.0,349.0
Universidad Pontificia Comillas,Spain,ELECTRIC,7,6,92.5,6,64.6,9,78.4,6,44.6,,,9,26.0,,,,,0.0,306.0
"Università degli Studi di Roma ""La Sapienza""",Italy,ELECTRIC,8,13,58.3,2,74.5,11,73.0,5,54.8,,,7,45.0,,,,,0.0,306.0
Barcelona East School of Engineering - EEBE - UPC,Spain,ELECTRIC,9,5,95.0,8,61.6,5,110.0,,,,,,,,,,,0.0,267.0
University of the Basque Country,Spain,ELECTRIC,10,11,65.9,12,54.5,6,99.1,8,12.4,7,14.5,,,,,,,0.0,246.0
HES-SO Valais-Wallis,Switzerland,ELECTRIC,11,18,36.7,18,37.2,15,46.8,9,3.5,,,10,11.0,5,100.5,4,13.4,-20.0,229.0
Università degli studi di Udine ,Italy,ELECTRIC,12,17,40.5,5,70.0,14,53.4,9,3.5,,,8,42.4,,,,,0.0,210.0
Technion - Israel Institute of Technology,Israel,ELECTRIC,13,14,54.5,3,73.5,12,69.7,,,,,,,,,,,0.0,198.0
Vitoria-University of the Basque Country,Spain,ELECTRIC,14,10,69.7,15,49.1,13,55.5,9,3.5,,,,,,,,,0.0,178.0
Universität Bremen,Germany,ELECTRIC,15,11,65.9,14,51.1,18,31.6,,,,,,,,,,,0.0,148.0
Hochschule Ruhr West - UAS,Germany,ELECTRIC,16,16,53.2,16,47.9,16,35.9,,,,,,,,,,,0.0,137.0
Ecole Nationale d,France,ELECTRIC,17,14,54.5,19,26.5,16,35.9,,,,,,,,,,,0.0,117.0
ECAM LaSalle - Campus de Lyon,France,ELECTRIC,18,,,17,39.0,,,,,,,,,,,,,0.0,39.0
Zürcher Hochschule für Angewandte Wissenschaften,Switzerland,ELECTRIC,19,2,99.0,10,59.4,9,78.4,,,,,,,,,,,-200.0,37.0
